source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
2.0,recall_score,0.9703520691785052,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
2.0,precision_score,0.8946469248291572,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
2.0,f1_score,0.930962962962963,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
3.0,accuracy_score,0.7874875868917577,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
3.0,recall_score,0.7708119218910586,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
3.0,precision_score,0.7853403141361257,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
3.0,f1_score,0.7780082987551866,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
4.0,accuracy_score,0.4548162859980139,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
4.0,recall_score,0.38620689655172413,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
4.0,precision_score,0.45213379469434833,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
4.0,f1_score,0.4165781083953241,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
5.0,accuracy_score,0.8282025819265144,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
5.0,recall_score,0.8396860986547086,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
5.0,precision_score,0.7867647058823529,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
5.0,f1_score,0.8123644251626898,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
6.0,accuracy_score,0.8311817279046674,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
6.0,recall_score,0.8489208633093526,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
6.0,precision_score,0.8105986261040236,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
6.0,f1_score,0.8293172690763053,validation,2,4,False,25,1.0,0.8,0,64,0.5,4
7.0,accuracy_score,0.548162859980139,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
7.0,recall_score,0.46325167037861914,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
7.0,precision_score,0.4928909952606635,validation,2,4,True,25,1.0,0.8,0,64,0.5,4
